DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
04/01/24,00:00,274.67,275.48,273.7,274.12,11729380
05/01/24,00:00,274.3,274.69,272.8,273.62,9635550
08/01/24,00:00,273.6,277.0,273.53,276.76,21489440
09/01/24,00:00,276.97,278.0,274.71,275.28,20316030
10/01/24,00:00,275.3,276.16,273.64,274.49,20660410
11/01/24,00:00,274.78,275.97,274.01,275.71,19526030
12/01/24,00:00,276.0,276.96,274.77,275.84,17702040
15/01/24,00:00,276.45,277.73,275.21,275.96,21397690
16/01/24,00:00,276.22,276.45,274.1,276.01,16110240
17/01/24,00:00,276.02,279.17,275.75,278.0,34256680
18/01/24,00:00,278.24,278.87,276.76,277.07,17701680
19/01/24,00:00,277.39,277.47,273.55,274.86,28052580
22/01/24,00:00,274.86,275.9,273.85,274.93,15086860
23/01/24,00:00,274.7,277.26,274.31,275.9,20092540
24/01/24,00:00,275.9,276.44,273.7,273.77,20203730
25/01/24,00:00,274.0,274.18,271.55,272.81,24436130
26/01/24,00:00,273.1,273.72,272.21,272.65,11131250
29/01/24,00:00,273.02,274.95,272.7,274.05,17095190
30/01/24,00:00,274.01,277.25,273.97,275.67,27236150
31/01/24,00:00,275.84,276.45,275.0,276.0,12543740
01/02/24,00:00,276.03,277.75,275.93,276.86,15976730
02/02/24,00:00,277.0,277.3,276.0,276.74,12718190
05/02/24,00:00,277.0,278.57,276.9,277.84,16056990
06/02/24,00:00,278.0,278.99,277.3,278.67,15960270
07/02/24,00:00,278.82,284.5,278.81,284.41,45372390
08/02/24,00:00,284.52,286.24,281.25,282.17,44132450
09/02/24,00:00,282.17,284.0,281.5,283.5,24378920
12/02/24,00:00,283.66,287.84,283.5,287.28,33890070
13/02/24,00:00,287.52,289.0,285.4,287.07,33307500
14/02/24,00:00,287.07,290.6,286.84,289.06,35874260
15/02/24,00:00,289.3,290.45,287.63,290.24,25912290
16/02/24,00:00,290.47,292.3,286.25,288.33,53446950
19/02/24,00:00,288.51,289.98,287.07,288.93,24327480
20/02/24,00:00,289.2,289.28,283.29,283.9,44972610
21/02/24,00:00,283.9,285.28,280.2,282.0,48915360
22/02/24,00:00,282.1,285.05,282.1,284.77,25175120
26/02/24,00:00,288.52,291.3,287.0,291.25,42969530
27/02/24,00:00,291.35,293.0,290.55,292.52,32504830
28/02/24,00:00,292.6,293.95,289.75,291.75,49330680
29/02/24,00:00,292.31,293.2,291.3,292.19,22436940
01/03/24,00:00,292.2,295.88,292.2,295.38,27129280
04/03/24,00:00,295.87,299.5,295.8,299.17,40609910
05/03/24,00:00,299.33,300.41,297.57,298.4,41756340
06/03/24,00:00,298.2,299.33,296.82,297.71,17756170
07/03/24,00:00,297.72,300.58,297.24,300.4,21982790
11/03/24,00:00,301.0,302.95,298.5,299.79,41781940
12/03/24,00:00,299.6,301.07,297.34,300.9,28743980
